REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
82 164.085 409.024 33.4711 409.024 164.085 0.74833683 0.035 1.0126821 0.875 0.49019608 0.152 0.85911602 0.094 0.46031746 0.094 0.34830033 0.03867403 0.14917127 0.085 0.39495798
83 163.319 409.024 33.4711 409.024 163.319 0.74200514 0.041 1.02500768 0.85714286 0.4379085 0.13 0.85635359 0.084 0.44444444 0.084 0.32162311 0.06353591 0.14364641 0.041 0.41923436
84 165.047 409.024 33.4711 409.024 165.047 0.74979575 0.033 1.02014737 0.89285714 0.50653595 0.141 0.85359116 0.068 0.44444444 0.08 0.32162311 0.06353591 0.14364641 0.068 0.41409897
85 163.598 409.024 33.4711 409.024 163.598 0.74754902 0.03 1.00218559 0.91071429 0.58169935 0.152 0.85635359 0.069 0.43870968 0.071 0.30599458 0.09392265 0.13259669 0.062 0.3977591
86 166.265 409.024 33.4711 409.024 166.265 0.7398459 0.034 1.0061649 0.875 0.503268 0.126 0.8508287 0.07 0.4363636 0.07 0.2915702 0.1464088 0.1104972 0.07 0.4042951
87 164.511 409.024 33.4711 409.024 164.511 0.7483952 0.047 1.0305588 0.8392857 0.4019608 0.149 0.8563536 0.079 0.4335664 0.094 0.3239963 0.0 0.1767956 0.047 0.4373249
88 166.033 409.024 33.4711 409.024 166.033 0.74576914 0.024 1.00297074 0.92857143 0.62091503 0.143 0.85635359 0.074 0.44295302 0.077 0.31042754 0.09116022 0.13259669 0.066 0.40756303
89 165.037 409.024 33.4711 409.024 165.037 0.7511963 0.05 1.0075482 0.7857143 0.369281 0.153 0.859116 0.082 0.4393939 0.084 0.3189799 0.0441989 0.1546961 0.052 0.4181839
90 166.055 409.024 33.4711 409.024 166.055 0.73739496 0.031 1.00776094 0.89285714 0.53267974 0.158 0.85082873 0.071 0.43421053 0.078 0.29831363 0.07734807 0.14364641 0.071 0.38340336
91 163.822 409.024 33.4711 409.024 163.822 0.744893791 0.029 1.020648173 0.910714286 0.539215686 0.131 0.859116022 0.07 0.428571429 0.092 0.292074083 0.005524862 0.182320442 0.062 0.399276377
92 166.646 409.024 33.4711 409.024 166.646 0.7459442 0.034 1.0217321 0.8928571 0.503268 0.143 0.8535912 0.08 0.4397163 0.08 0.3112567 0.0801105 0.1381215 0.049 0.4146825
93 164.617 409.024 33.4711 409.024 164.617 0.75183824 0.069 1.02053008 0.66071429 0.22222222 0.135 0.85911602 0.069 0.45962733 0.078 0.33339795 0.07734807 0.13259669 0.069 0.43849206
94 163.759 409.024 33.4711 409.024 163.759 0.755077031 0.028 1.014813736 0.910714286 0.552287582 0.149 0.848066298 0.058 0.440677966 0.092 0.312895433 0.005524862 0.17679558 0.058 0.428454715
95 164.914 409.024 33.4711 409.024 164.914 0.7419468 0.031 1.0206482 0.9107143 0.5392157 0.167 0.8535912 0.074 0.4563758 0.074 0.3262718 0.1022099 0.121547 0.074 0.4143324
96 163.865 409.024 33.4711 409.024 163.865 0.75519374 0.074 1.01829018 0.625 0.19607843 0.135 0.85359116 0.076 0.46575342 0.076 0.3398485 0.09392265 0.12154696 0.059 0.43172269
97 161.739 409.024 33.4711 409.024 161.739 0.7613796 0.072 1.0208722 0.625 0.1928105 0.14 0.8563536 0.072 0.4666667 0.072 0.3383898 0.1049724 0.1160221 0.065 0.4384921
98 165.922 409.024 33.4711 409.024 165.922 0.738387021 0.142 1.000448118 0.142857143 0.009803922 0.142 0.859116022 0.074 0.444444444 0.074 0.308881003 0.113259669 0.121546961 0.068 0.404295051
99 165.608 409.024 33.4711 409.024 165.608 0.7454774 0.072 1.0048227 0.6071429 0.1993464 0.137 0.8508287 0.072 0.4503311 0.072 0.3174776 0.1077348 0.121547 0.063 0.4105976
100 165.612 409.024 33.4711 409.024 165.612 0.7403711 0.079 1.0182902 0.625 0.1960784 0.148 0.859116 0.079 0.4635762 0.079 0.3339239 0.1077348 0.1160221 0.079 0.4289216
