REP likelihood empty_likelihood max_likelihood empty_score score AUC d_th d TPR FPR ACC_th ACC F1_th F1 KAPPA_th KAPPA QDIS ADIS TSS_th TSS
73 178.301 409.024 33.4711 409.024 178.301 0.758199113 0.056 1.053810924 0.821428571 0.339869281 0.144 0.848066298 0.062 0.457142857 0.078 0.312895433 0.005524862 0.17679558 0.056 0.48155929
74 171.861 409.024 33.4711 409.024 171.861 0.7720296 0.064 1.0676687 0.7678571 0.2581699 0.149 0.8480663 0.064 0.4831461 0.069 0.3487184 0.1187845 0.1049724 0.064 0.5096872
75 174.148 409.024 33.4711 409.024 174.148 0.77375117 0.058 1.06766869 0.76785714 0.25816993 0.13 0.84530387 0.061 0.49382716 0.061 0.36534679 0.13812155 0.08839779 0.058 0.50968721
76 174.674 409.024 33.4711 409.024 174.674 0.75784897 0.047 1.04205969 0.83928571 0.38235294 0.103 0.84530387 0.052 0.45901639 0.054 0.31178707 0.18508287 0.08287293 0.052 0.47222222
77 171.413 409.024 33.4711 409.024 171.413 0.75379318 0.052 1.05187087 0.78571429 0.30065359 0.152 0.8480663 0.055 0.45989305 0.058 0.31178707 0.18508287 0.08287293 0.052 0.48506069
78 175.297 409.024 33.4711 409.024 175.297 0.76528945 0.062 1.0595054 0.75 0.25163399 0.139 0.8480663 0.064 0.48192771 0.064 0.34832119 0.14917127 0.08839779 0.062 0.49836601
79 174.448 409.024 33.4711 409.024 174.448 0.760475 0.04 1.0543461 0.875 0.4117647 0.137 0.8480663 0.05 0.4623656 0.05 0.3140302 0.2044199 0.0718232 0.05 0.4835434
80 174.68 409.024 33.4711 409.024 174.68 0.76079599 0.064 1.07165079 0.78571429 0.27124183 0.132 0.8480663 0.064 0.48087432 0.064 0.33893353 0.1961326 0.06629834 0.064 0.51447246
81 173.369 409.024 33.4711 409.024 173.369 0.75571895 0.046 1.05176688 0.82142857 0.34313725 0.142 0.8480663 0.054 0.45810056 0.057 0.31402274 0.1519337 0.09944751 0.046 0.47829132
82 176.276 409.024 33.4711 409.024 176.276 0.75180906 0.045 1.04353351 0.875 0.43137255 0.119 0.84530387 0.058 0.46153846 0.058 0.31476474 0.19337017 0.07734807 0.058 0.4754902
83 176.459 409.024 33.4711 409.024 176.459 0.7543184 0.049 1.0519029 0.7678571 0.2810458 0.141 0.8453039 0.049 0.4648649 0.049 0.3176574 0.2016575 0.0718232 0.049 0.4868114
84 170.614 409.024 33.4711 409.024 170.614 0.76458917 0.057 1.05489897 0.75 0.25816993 0.15 0.8480663 0.057 0.47457627 0.057 0.33363683 0.17955801 0.07734807 0.057 0.49183007
85 173.59 409.024 33.4711 409.024 173.59 0.75761555 0.057 1.05997987 0.82142857 0.33006536 0.168 0.8480663 0.062 0.46560847 0.064 0.3184659 0.19060773 0.07734807 0.062 0.49486461
